"filename", "language", "C", "C++", "CMake", "ARM", "comment", "blank", "total"
"/home/nexos/sources/nexnix/source/nexboot/drivers/vbe.c", "C", -14, 0, 0, 0, -2, 0, -16
"/home/nexos/sources/nexnix/source/nexboot/fw/efi/efi.c", "C", -20, 0, 0, 0, -2, -1, -23
"/home/nexos/sources/nexnix/source/nexboot/include/nexboot/bios/bios.h", "C++", 0, -5, 0, 0, 0, -1, -6
"/home/nexos/sources/nexnix/source/nexboot/include/nexboot/nexnix.h", "C++", 0, 1, 0, 0, 0, 1, 2
"/home/nexos/sources/nexnix/source/nexboot/src/nexnix.c", "C", 7, 0, 0, 0, 0, 0, 7
"/home/nexos/sources/nexnix/source/nexke/core/fbcons.c", "C", 21, 0, 0, 0, 1, 1, 23
"/home/nexos/sources/nexnix/source/nexke/core/main.c", "C", -2, 0, 0, 0, 0, 0, -2
"/home/nexos/sources/nexnix/source/nexke/cpu/armv8/arch.cmake", "CMake", 0, 0, 3, 0, 0, 0, 3
"/home/nexos/sources/nexnix/source/nexke/cpu/armv8/cpu.S", "ARM", 0, 0, 0, 6, 0, 5, 11
"/home/nexos/sources/nexnix/source/nexke/cpu/armv8/cpudep.c", "C", 97, 0, 0, 0, 15, 6, 118
"/home/nexos/sources/nexnix/source/nexke/cpu/armv8/cpuhelp.c", "C", 67, 0, 0, 0, 1, 1, 69
"/home/nexos/sources/nexnix/source/nexke/cpu/armv8/exec.c", "C", 67, 0, 0, 0, 23, 6, 96
"/home/nexos/sources/nexnix/source/nexke/cpu/armv8/mul.c", "C", 42, 0, 0, 0, 15, 15, 72
"/home/nexos/sources/nexnix/source/nexke/cpu/armv8/trap.S", "ARM", 0, 0, 0, 124, 0, 10, 134
"/home/nexos/sources/nexnix/source/nexke/cpu/i386/mul.c", "C", 22, 0, 0, 0, 5, 0, 27
"/home/nexos/sources/nexnix/source/nexke/cpu/i386/mulpae.c", "C", 22, 0, 0, 0, 5, 0, 27
"/home/nexos/sources/nexnix/source/nexke/cpu/x86/exec.c", "C", 6, 0, 0, 0, 1, 0, 7
"/home/nexos/sources/nexnix/source/nexke/cpu/x86_64/mul.c", "C", 22, 0, 0, 0, 5, 0, 27
"/home/nexos/sources/nexnix/source/nexke/include/nexke/cpu.h", "C", 6, 0, 0, 0, 1, 1, 8
"/home/nexos/sources/nexnix/source/nexke/include/nexke/cpu/armv8/armv8.h", "C++", 0, 157, 0, 0, 12, 19, 188
"/home/nexos/sources/nexnix/source/nexke/include/nexke/cpu/armv8/mul.h", "C++", 0, 16, 0, 0, 6, 8, 30
"/home/nexos/sources/nexnix/source/nexke/include/nexke/cpu/i386/mul.h", "C++", 0, 15, 0, 0, 2, 4, 21
"/home/nexos/sources/nexnix/source/nexke/include/nexke/cpu/x86/x86.h", "C++", 0, 0, 0, 0, -1, -1, -2
"/home/nexos/sources/nexnix/source/nexke/include/nexke/cpu/x86_64/mul.h", "C++", 0, 15, 0, 0, 2, 4, 21
"/home/nexos/sources/nexnix/source/nexke/include/nexke/mm.h", "C++", 0, 1, 0, 0, 0, 0, 1
"/home/nexos/sources/nexnix/source/nexke/include/nexke/nexke.h", "C", 1, 0, 0, 0, 1, 0, 2
"/home/nexos/sources/nexnix/source/nexke/include/nexke/platform/acpi.h", "C++", 0, 1, 0, 0, 1, 1, 3
"/home/nexos/sources/nexnix/source/nexke/include/nexke/types.h", "C++", 0, 1, 0, 0, 0, 0, 1
"/home/nexos/sources/nexnix/source/nexke/mm/kvmm.c", "C", 0, 0, 0, 0, 1, 0, 1
"/home/nexos/sources/nexnix/source/nexke/platform/acpi.c", "C", 36, 0, 0, 0, 6, 1, 43
"/home/nexos/sources/nexnix/source/nexke/platform/pc/pcdetect.c", "C", 2, 0, 0, 0, 0, 0, 2
"/home/nexos/sources/nexnix/source/nexke/platform/sbsa/sbsa.c", "C", 68, 0, 0, 0, 13, 8, 89
"Total", "-", 450, 202, 3, 130, 111, 88, 984
